21.42462; 50.29332; Biedronka; PL-Mielec; ul. Drzewieckiego;
19.17026; 52.25702; Biedronka; PL-Krosniewice; Torunska 10 (pon-sob 7-21);
18.57767; 49.95546; Biedronka; PL-Jastrzebie Zdrój; Pszczynska 6-8 (pn-sb 8:00-21:00 ndz 10:00-18:00);
18.93107; 53.73292; Biedronka; PL-Kwidzyn; Kopernika;
19.81600; 50.62642; Biedronka; PL-Polska;;
21.63943; 49.70966; Biedronka; PL-Jedlicze; ul. Sienkiewicza 19;
20.05028; 50.56282; Biedronka; PL-Sedziszów; Lesna 1 (pon-sob 7-21;48 413 810 080
18.57162; 54.33720; Biedronka; PL-Gdansk; ul. Kartuska 332;
16.55694; 52.89826; Biedronka; PL-Czarnków; Kosciuszki 93;
20.18708; 52.39145; Biedronka; PL-Wyszogród; Mickiewicza 16;
22.37916; 51.92258; Biedronka; PL-Polska;;
15.56440; 51.25755; Biedronka; PL-Boleslawiec; Komuny Paryskiej 25a (pon-sob 8-20 ndz 9-15);48 757 353 362
18.99352; 50.10057; Biedronka; PL-Polska;;
18.80118; 49.71679; Biedronka; PL-Polska;;
16.15040; 54.18557; Biedronka; PL-Polska;;
16.20026; 54.21380; Biedronka; PL-Koszalin; Prosta;
17.00282; 51.06036; Biedronka; PL-Polska;;
18.50014; 52.01456; Biedronka; PL-Turek; ul. Ogrodowa;
16.29440; 54.22904; Biedronka; PL-Sianów; Morska 4 (pon-sob 7-21;48 943 430 726
16.79913; 52.39486; Biedronka; PL-Polska;;
23.51409; 53.41126; Biedronka; PL-Polska;;
23.46903; 51.12507; Biedronka; PL-Chelm; ul. Lwowska;
18.59015; 54.40764; Biedronka; PL-Gdansk-Przymorze Male; Chlopska;
17.10502; 51.05688; Biedronka; PL-Polska;;
22.71234; 51.22002; Biedronka; PL-Swidnik; ul. Kosynierow 2;
18.52422; 50.12467; Biedronka; PL-Rybnik; sw. Maksymiliana 28;
22.29624; 54.31998; Biedronka; PL-Polska;;
14.72790; 51.94655; Biedronka; PL-Polska;;
15.58756; 52.45030; Biedronka; PL-Miedzyrzecz; ul. Piastowska;
22.00410; 51.33669; Biedronka; PL-Bochotnica; Naleczowska 57;
23.59693; 52.73315; Biedronka; PL-Hajnowka; ul. 3 Maja 62;
21.97195; 51.15186; Biedronka; PL-Opole Lubelskie; Lubelska 32 (pon-sob 7-21 ndz 9-16;48 818 274 066
